DOPs;Año;Alemania;Austria;Bélgica;Bulgaria;Chipre;Croacia;Dinamarca;Eslovaquia;Eslovenia;Estonia;Finlandia;Francia;Grecia;Holanda;Hungria;Irlanda;Italia;Letonia;Lituania;Luxemburgo;Malta;Polonia;Portugal;Repùblica Checa;Rumania;Suecia;Noruega;Suiza;Reino Unido;Rusia;Resto Europa no E.U.;Argentina;Brasil;Canadá;Colombia;EE.UU.;México;Venezuela;Resto América;Corea;China;India;Japón;Resto Asia;Australia;Resto Oceanía;Resto países;Blanco;Rosado;Tinto;De licor;Espumoso;Deaguja;Otros;€/hl
Somontano;2023;5286;27;9006;16;0;0;605;0;3;12;47;446;25;6790;13;87;10;5;98;44;16;316;21;17;4;67;35;1765;1487;2847;512;0;78;511;380;407;2192;143;398;307;335;33;976;390;48;23;2;16320;7533;11977;0;0;0;0;611,6243371
Tacoronte-Acentejo;2023;385;0;0;0;0;0;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;439;45;501;0;0;0;0;11,25583756
Tarragona;2023;59;2;58;1;0;0;18;0;0;16;10;0;0;255;0;7;53;0;11;4;0;33;22;0;0;0;90;2;4;0;9;0;0;32;2;55;2;0;18;21;20;0;42;18;1;0;41;422;18;399;0;67;0;0;456,6512141
Terra Alta;2023;330;14;237;9;0;0;165;0;0;15;10;235;0;179;0;44;19;68;7;0;0;41;0;16;0;748;29;153;578;200;46;0;8;92;28;885;18;1;20;39;35;0;192;47;82;0;0;1650;254;2685;1;0;0;0;499,8993464
Tierra del Vino de Zamora;2023;16;0;2;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;21;0;0;0;14;0;4;8;5;0;0;3;4;6;0;0;0;0;0;14;0;1;0;0;0;0;40;0;63;0;0;0;0;558,3106796
Toro;2023;0;0;1978;23;2;24;325;19;1;68;104;1077;3;3493;17;893;66;217;139;26;11;207;66;114;4;191;28;2630;1644;1257;0;0;421;321;64;5235;1344;6;0;86;1438;0;307;0;31;0;6026;0;0;29906;0;0;0;0;307,6305758
Uclés;2023;938;42;207;14;0;4;16;0;0;0;0;11;0;191;0;33;0;0;24;0;0;550;0;29;4;0;0;124;649;144;170;0;105;140;900;119;0;0;3;3;1403;0;95;152;0;0;164;1712;317;4205;0;0;0;0;286,5824511
Urueña;2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;2485,714286
Utiel-Requena;2023;5145;2792;1703;36;633;0;1205;29;209;1047;522;2536;0;17190;110;6001;209;654;2927;6;49;4169;5;82;34;1395;3485;1225;33567;18345;4196;0;2204;6071;788;4550;2435;62;563;534;6728;0;3424;687;2965;38;4641;29852;25418;89926;0;0;0;0;310,1695639
Valdeorras;2023;117;11;51;1;0;0;54;0;0;8;9;56;3;391;0;73;6;0;2;6;5;13;8;8;3;118;81;138;633;125;12;0;0;86;0;585;50;2;0;20;39;0;142;0;47;12;361;2130;0;1146;0;0;0;0;800
Valdepeñas;2023;16889;445;1150;0;0;933;482;1973;0;90;384;97;30;7285;0;148;301;1972;578;14;14;2682;0;1613;264;804;57;3811;7166;1865;1473;0;536;5626;27;349;129;26;736;314;1241;0;4586;324;0;32;347;10874;4340;51579;0;0;0;0;214,9327325
Valencia;2023;17831;400;6614;7;7;133;12547;57;22;1253;5650;5612;217;5543;165;1330;82;3602;2843;15;23;6836;14;619;735;3730;4406;1688;7975;28347;2087;0;1686;9767;261;6108;1861;518;1014;571;4908;299;3592;818;390;284;428;39176;17076;83614;11004;1645;380;0;215,382452
Valle de Güímar;2023;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;0;0;0;0;0;0;0;0;0;37;0;10;0;0;0;0;1165,212766
Valle de la Orotava;2023;63;14;10;0;0;0;4;0;0;0;0;25;5;9;0;5;6;0;0;0;0;8;25;3;0;27;4;26;12;0;0;14;0;44;0;249;0;0;0;0;10;0;11;22;20;0;0;220;49;347;0;0;0;0;1270,363636
Valles de Benavente;2023;27;0;20;0;0;0;0;0;0;0;0;0;0;8;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;4;0;0;0;0;41;0;0;0;0;0;0;13;39;53;0;0;0;0;300
Valtiendas;2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
